,year,geoid,pollutant,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by,sourcetype,regclass,fueltype,roadtype,table
0,2020.0,1001,98.0,426682.8302892559,759267760.3169253,18237772.474756707,61149.417217337,82850801.356827,216755.811,16260.227,0.0,58254.0601,16,,,,,d01001
1,2025.0,1001,98.0,397859.7855999141,781294058.5984383,18760007.759042148,63145.60553935099,85968096.36930421,186869.8542,43299.07,9491.902,59915.1711,16,,,,,d01001
2,2030.0,1001,98.0,374938.79872901825,808645136.7306654,19420761.703920368,64683.90568239399,88530974.1167199,155031.756838,70793.25,21126.216999999997,61737.851709400005,16,,,,,d01001
3,2035.0,1001,98.0,362418.926047932,830892007.3102145,19963173.154617984,66010.220468687,90883725.02250196,134586.75648499,89498.76999999999,30559.165,63661.25162125,16,,,,,d01001
4,2040.0,1001,98.0,363935.588906074,860883909.266672,20698530.323899493,67397.249197265,93378678.8845742,126711.29,100514.35,36349.91,65893.91,16,,,,,d01001
5,2045.0,1001,98.0,372182.3805,893185617.925,21488134.068749987,69108.533079,96426866.746,125105.26,107468.12,39767.6,68085.12000000001,16,,,,,d01001
6,2050.0,1001,98.0,385066.3689600001,925398455.7250004,22266039.71315999,70713.874386,99515295.334,127064.99,112281.07,41936.38,70320.71,16,,,,,d01001
7,2055.0,1001,98.0,399943.4354559997,956643038.506,23017185.79354001,72155.28572,102461476.503,130562.95,116027.13,43478.34,72517.03,16,,,,,d01001
8,2060.0,1001,98.0,416514.3160989998,989429325.6530004,23805583.43375,73685.52324,105639397.064,134644.68,119684.38,44881.59,74802.59000000001,16,,,,,d01001
9,2020.0,1003,98.0,2008269.3725795215,3660688204.89741,102531924.53853336,300906.94105684,404976587.669992,671878.939,50401.96,0.0,180569.7,16,,,,,d01003
10,2025.0,1003,98.0,1868708.29513254,3765240981.135862,105421867.53115414,310739.31046772,420213045.096318,579240.099,134214.0,29422.040999999997,185718.6297,16,,,,,d01003
11,2030.0,1003,98.0,1762215.2325646454,3897454457.6997566,109147339.04812364,318369.58232042,432741767.507394,480552.7131,219437.51,65485.11,191369.403275,16,,,,,d01003
12,2035.0,1003,98.0,1704391.467539644,4005588729.884882,112225035.43916652,325032.951556662,444241464.31825733,417179.7201015,277419.54,94724.47,197330.66502539,16,,,,,d01003
13,2040.0,1003,98.0,1712543.30391335,4152396027.014905,116424208.95803855,332065.25254899,456437034.84787303,392767.5,311564.09,112673.81,204251.84,16,,,,,d01003
14,2045.0,1003,98.0,1751978.354119999,4310164838.49,120922727.8301,340640.92140999995,471336791.816,387787.8,333117.92,123267.48,211043.8,16,,,,,d01003
15,2050.0,1003,98.0,1812335.87114,4465474826.84,125298562.14270002,348582.76078,486433081.61,393864.3,348037.66,129990.28,217973.06,16,,,,,d01003
16,2055.0,1003,98.0,1881725.389769999,4615260474.04,129500462.31350002,355669.73651,500834054.32,404705.01,359649.77,134769.64,224780.85,16,,,,,d01003
17,2060.0,1003,98.0,1959053.6988299997,4772391263.470001,133909137.975,363177.46190000005,516368189.78,417358.6,370984.97,139119.86,231866.11,16,,,,,d01003
18,2020.0,1005,98.0,196777.17124801,383617363.46247905,10804528.3891865,32130.836941853,38187650.6205164,0.0,0.0,0.0,0.0,16,,,,,d01005
19,2025.0,1005,98.0,183127.65345495,394505163.5417851,11108749.6448593,33177.742056837,39624535.4849915,0.0,0.0,0.0,0.0,16,,,,,d01005
20,2030.0,1005,98.0,173023.4553383691,408159233.582757,11497454.0596743,33979.58752313,40805880.406078294,0.0,0.0,0.0,0.0,16,,,,,d01005
21,2035.0,1005,98.0,167535.0079865199,419027765.33494925,11812588.04020544,34667.0937599588,41890252.44677124,0.0,0.0,0.0,0.0,16,,,,,d01005
22,2040.0,1005,98.0,168418.87567125,433866351.20628107,12243526.4982677,35383.882788924006,43040207.4543184,0.0,0.0,0.0,0.0,16,,,,,d01005
23,2045.0,1005,98.0,172342.01784,449959372.91,12708239.0453,36264.972559999995,44445202.9605,0.0,0.0,0.0,0.0,16,,,,,d01005
24,2050.0,1005,98.0,178354.98629,465947109.92,13164288.032700004,37087.849485000006,45868740.2343,0.0,0.0,0.0,0.0,16,,,,,d01005
25,2055.0,1005,98.0,185272.85812,481384143.56999993,13603208.982899996,37823.87903,47226715.684999995,0.0,0.0,0.0,0.0,16,,,,,d01005
